name,filters_1,filters_2,dense_units,dropout,learning_rate,batch_size,epochs_ran,best_val_loss,best_val_accuracy,val_accuracy,val_weighted_f1,test_accuracy,test_weighted_f1,training_seconds
small_lr_1e3_do30_b32,32,64,64,0.3,0.001,32,8,0.11730872839689255,0.9628286361694336,0.9628286491387126,0.9628175967640646,0.9537624660018132,0.95379027423566,11.13957900000969
small_lr_5e4_do30_b32,32,64,64,0.3,0.0005,32,15,0.09125005453824997,0.9682683348655701,0.9655485040797824,0.9655457246380424,0.9592021758839528,0.9591984841653833,18.374221900012344
medium_lr_1e3_do35_b32,48,96,80,0.35,0.001,32,18,0.0797649398446083,0.9682683348655701,0.9610154125113327,0.9609345972943885,0.958295557570263,0.9582187222446762,25.720004400005564
medium_lr_5e4_do35_b64,48,96,80,0.35,0.0005,64,18,0.07401847839355469,0.9755213260650635,0.9755213055303718,0.9755170255565093,0.9637352674524026,0.9637352674524026,21.727685099991504
deep_lr_1e3_do40_b32,64,128,96,0.4,0.001,32,10,0.11252044886350632,0.9582955837249756,0.958295557570263,0.9582127555858798,0.9528558476881233,0.9527968454813533,17.701727800013032
deep_lr_5e4_do40_b64,64,128,96,0.4,0.0005,64,18,0.06948167085647583,0.9764279127120972,0.9728014505893019,0.9728065762016587,0.9628286491387126,0.9627836915994016,24.88265310000861
